mu_g,k_g,mu_i,k_i
4.217642969202121,2.5242626992873776,4.731401361956831,15.089339364353702
4.338849118288827,2.068081201100374,4.808667799449857,16.202667534031978
4.08225689700344,2.0451484293957205,4.911993839800923,15.217907524111096
4.154355425227194,3.1596625524808215,4.723643932602001,10.126518202323632
4.2631483474464,2.2436740322273767,4.975380989123593,12.875175359580114
4.894121621733951,2.423617538219246,4.755764374515563,12.569933427567124
3.782433696650741,4.223763695151103,4.758937982008517,13.971521448063802
4.475566873987803,3.2010653060875485,4.886778660606897,12.308375256009963
4.04495665822008,2.9720205767579566,4.879166027413583,11.989561510933084
4.056208464486639,3.056664566857792,4.838466879849013,12.216542850752848
3.960697107551383,2.573270749346776,4.896386918087989,13.867665647659868
4.003700227788673,2.5814782012597184,4.704303738443928,16.483562252935364
4.13751881665822,3.131401264928913,4.863019927382118,14.315239527766126
4.038474469100086,2.321303689268442,4.843840868101282,13.687914516150174
4.577577592296918,1.9904239479492167,4.712688521204801,16.532659161220426
3.689797508594492,2.6136911576416804,4.828311992254728,13.975359690109713
4.104610933276921,3.5981137661786,4.803569862745519,13.61366499079194
4.428675807448665,2.4236444027059894,5.022305662628633,13.677879578336318
3.3095852414492,2.186159594140789,4.772127204202434,13.339603921039101
3.5979385987292782,3.281607816568097,4.633960869215558,13.108912351459649
3.4129331461300563,2.471623221369851,4.522417090333373,13.781920362112515
4.03363147710987,2.644159717552845,4.902402451862126,9.55699215255368
3.8690707286455446,3.7605418265768717,4.842571490622722,12.381756089043716
4.138218988811525,3.5570441139583284,5.00163592508882,11.094379981323293
4.183188363408191,3.8531451154497565,4.978462972863398,10.594844962226526
3.874552797270966,3.516473779154407,4.861261677451848,15.854813063127695
4.030538583998351,2.291704821521324,4.757833357862224,11.159790593134353
4.052853964291862,3.173607644858389,4.901509460901519,16.98135725238327
3.848140849193709,2.460574823991764,4.707098707152896,14.722346938789462
3.445777949381847,2.9487813005411403,4.75551966136605,13.697541541503
3.660529978779656,2.428010229218302,4.685534272094761,13.519251587123701
3.6490446493375592,2.1257688428930135,4.711264937857361,12.784642246455514
3.962637924672997,3.598425678251298,4.805409350185754,14.301485312159096
4.392671384599795,2.644325877253969,4.77829990342565,12.417751911372447
3.641610635403476,2.7921274501409137,4.813330693225483,13.18977084159709
3.996560300573596,3.3555674851446855,4.755974340945902,10.29379642277473
4.109101802289425,2.810339783418464,4.915869184442108,12.694538646982824
3.9979390064364173,3.1184333606771095,4.807494236789144,18.234710866153122
4.351141204754634,2.638654817071622,4.930303350711664,12.13701353038487
3.8705257320045603,2.8029357208493972,4.7932254103127,14.722152526187372
3.930394663857705,2.478462035015112,4.807924584705859,12.103082281987577
3.948623579286577,2.5072291583648947,4.749213388704036,13.986123786381818
4.115282366846683,2.6135288518865654,4.905115273013889,14.129800786748081
4.250459321771529,2.548423244259262,4.864368656080692,12.669442580444608
3.8242425947326493,2.808841033883811,4.735104117057609,13.928674728537517
4.237471612634749,2.769724155409406,4.898352526741346,12.169049650605222
4.179819526991543,2.548393839688725,4.837636072862206,15.116180463984094
4.114630684243971,3.23492928055393,4.987159394691581,14.40529397980119
4.161882184637814,2.6939133455153015,4.860678854467462,14.861442632368405
4.22357597513647,2.9496949207583967,4.915200764900874,12.696575415458877
3.968463721245854,2.9500678311727744,4.789483358510141,12.272318970075299
3.968463721245854,2.9500678311727744,4.789483358510141,12.272318970075299
3.766768922461874,4.113735913130436,4.970123864955718,14.060782545684315
4.4639605242836735,1.916044303455853,4.698312033858951,13.686700131750436
4.371495332682777,2.0907937490110857,4.757927842570107,13.544412443800887
3.7265265844549718,3.756352148738886,4.904402997144663,14.438757085693714
4.771752272145199,2.020003527810041,4.970310388157296,12.310093520768783
4.260434587265205,2.265758598229662,4.724897697284024,13.61291451098639
3.899432404055705,2.783813873636164,4.86048151459295,13.041044148295894
3.930843113729702,3.0206926485927346,4.778080868271288,12.775370759273015
3.765713980582844,2.758018793974386,4.8002042927982576,11.557958960483944
3.6865269526094937,2.9072234005717457,4.701641533948327,13.729968877066813
4.040942859584533,2.5792962020331034,4.83771043737993,13.126379613664485
3.9852930520819756,3.6774196808257207,4.866573915403208,11.39359334809588
4.4931428557336,2.2616057911609535,4.763378723423318,14.440839522262461
4.375624108947066,3.096603320149093,4.824835652572621,14.281081634199813
4.59045499282181,2.8643739503049286,4.791201844027082,12.355624686170716
4.406330378060924,2.5722790283420722,4.851045256870346,12.23133869379365
4.2565868883850815,3.1892912132584263,4.948540297442355,10.695270921782624
3.846758673298964,2.2309204313019237,4.727936652545745,17.120962224074116
4.114290745971836,3.648897966978514,4.802017028535539,10.855148184155953
4.2010328937450785,2.6827039947438274,4.969978758183709,10.691517361011197
4.243732136090419,3.6681780059293394,4.87382526779429,13.767607152480037
3.9672792381127118,2.761665826369865,5.011023172281052,10.255081855141329
4.570342133666601,3.1866212133774936,4.854608997289785,12.797467474562993
4.415049553716774,2.5439279673869923,4.960062856271419,16.546180561044306
4.517407098616826,2.7709607787757857,5.021498930664124,14.643645962503664
4.29242001486221,2.5499560788081035,5.051666316116011,13.61129384912531
4.510390897669688,2.1844994039220733,4.976575864781544,11.79030546812574
4.4274866133332536,2.179572097906612,4.94665518876874,13.003677966202883
4.110974497565713,3.313883990763877,4.885893680339851,13.674389505496162
4.039504888412249,2.4076655284967052,4.7462189135787956,14.161387528980587
4.283042230499927,3.206416342379603,4.846835813964329,12.547914934741677
4.038214108221296,2.6124617162563073,4.830041266659539,13.27607904564047
3.4142402774684983,3.172847050247255,4.782530124906344,11.530864010648866
3.6928064836163252,2.2402728841599133,4.651404818931694,12.377787462219123
3.932448790881356,2.662561581001902,4.746364047974794,12.984036270779503
4.196806310330221,3.1546264727736495,4.987722658436096,13.7758827337213
